adhel.fid--769d7d03_15f12ebc69c_2763|152|POINT (-71.13554000000003 -42.90380999999999)|ESQ|SAVE|EQS|AD|ESQUEL/BRIGADIER GENERAL ANTONIO PARODI|" 42°54'14""S  71° 8' 8""W"|799|M|12|ESE|Esquel|PUBLICO|CONTROL|RASU|OK|SAVF|CIVIL|NTL|EANA|1|1|CHUBUT|0
adhel.fid--769d7d03_15f12ebc69c_2764|715|POINT (-67.9640042365309 -53.07649480680314)|HSW|||HP|HELIPLATAFORMA SWIBER PJW3000|" 53° 4'35""S  67°57'50""W"|36|M|||Campo Vega Pleyade (531929S-0674311W 530346S-0674649W 525444S-0680635W 525554S-0681826W)|PRIVADO|NOCONTROL|RASU||SAVF||NTL||0|0|TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR|0
adhel.fid--769d7d03_15f12ebc69c_2765|601|POINT (-65.41617 -36.20694000000001)|VCA|||AD|VICTORICA|" 36°12'25""S  65°24'58""W"|311|M|1.2|NE|Victorica|PRIVADO|NOCONTROL|RACE|OK|SAEF||NTL||0|0|LA PAMPA|0
adhel.fid--769d7d03_15f12ebc69c_2766|484|POINT (-55.97049000000002 -27.38573)|POS|SARP|PSS|AD|POSADAS/LIBERTADOR GRAL. D. JOSÉ DE SAN MARTÍN|" 27°23' 9""S  55°58'14""W"|131|M|7.5|NO|Posadas|PUBLICO|CONTROL|RANE|OK|SARR||INTL|EANA|1|1|MISIONES|0
adhel.fid--769d7d03_15f12ebc69c_2767|716|POINT (-60.292016666666676 -29.851572222222234)|CCI|||AD|CALCHAQUÍ|" 29°51' 6""S  60°17'31""W"|56|M|4|N|Calchaquí|PRIVADO|NOCONTROL|RANE|OK|SARR|CIVIL|NTL||0|0|SANTA FÉ|0
adhel.fid--769d7d03_15f12ebc69c_2768|714|POINT (-66.41666666666667 -52.833333333333336)|HOC|||HP|HELIPLATAFORMA OCEANIC CHAMPION|" 52°50' 0""S  66°25' 0""W"|20|M|138.9||Río Grande|PRIVADO|NOCONTROL|RASU||SAVF||NTL||0|0|TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR|0
adhel.fid--769d7d03_15f12ebc69c_2769|170|POINT (-58.3166666666667 -34.8266666666667)|FVA|||AD|FLORENCIO VARELA/EL PÁJARO|" 34°49'36""S  58°19' 0""W"|16|M|3.5|SO|Florencio Varela|PUBLICO|NOCONTROL|RACE|CERRADO|SAEF|CIVIL|NTL||0|0|BUENOS AIRES|0
adhel.fid--769d7d03_15f12ebc69c_276a|407|POINT (-58.13353 -38.38559000000001)|MBL|||AD|MIRAMAR/BELLAMAR|" 38°23' 8""S  58° 8' 1""W"|13|M|29.5|SO|Miramar|PRIVADO|NOCONTROL|RACE|OK|SAEF||NTL||0|0|BUENOS AIRES|0
adhel.fid--769d7d03_15f12ebc69c_276b|531|POINT (-60.90944 -32.57977999999999)|SER|||AD|SERODINO/FUMIGACIONES STANDLER|" 32°34'47""S  60°54'34""W"|37|M|5|NE|Serodino|PRIVADO|NOCONTROL|RACE|OK|SAEF|AEROAPP|NTL||0|0|SANTA FÉ|0
adhel.fid--769d7d03_15f12ebc69c_276c|322|POINT (-62.641667 -35.913333)|HTL|||HP|TRENQUE LAUQUEN/EA. LA CHACOTA|" 35°54'48""S  62°38'30""W"|90|M|13|NE|Trenque Lauquen|PRIVADO|NOCONTROL|RACE|OK|SAEF|CIVIL|NTL||0|0|BUENOS AIRES|0
adhel.fid--769d7d03_15f12ebc69c_276d|568|POINT (-61.759150000000005 -32.243829999999996)|TBL|||AD|EL TRÉBOL/BURDISSO|" 32°14'38""S  61°45'33""W"|111|M|7|SO|El Trebol|PRIVADO|NOCONTROL|RACE|OK|SAEF|AEROAPP|NTL||0|0|SANTA FÉ|0
adhel.fid--769d7d03_15f12ebc69c_276e|21|POINT (-61.3866666666667 -34.2219444444444)|ARB|||AD|ARRIBEÑOS|" 34°13'19""S  61°23'12""W"|82|M|3.3|SO|Arribeños|PUBLICO|NOCONTROL|RACE|OK|SAEF|CIVIL|NTL||0|0|BUENOS AIRES|0
adhel.fid--769d7d03_15f12ebc69c_276f|280|POINT (-58.734061 -34.445915)|HMC|||HP|GARÍN/MIRAFLORES COUNTRY CLUB|" 34°26'45""S  58°44' 3""W"|21|M|2.6|S|Garin|PRIVADO|NOCONTROL|RACE|CERRADO|SAEF|CIVIL|NTL||0|0|BUENOS AIRES|0
adhel.fid--769d7d03_15f12ebc69c_2770|717|POINT (-56.63085000000002 -64.23913000000002)|MBI|SAWB||AD|VICECOMODORO MARAMBIO|" 64°14'21""S  56°37'51""W"|209.5|M|||Isla Marambio. Mar de Weddell.|PUBLICO|CONTROL|RASU||SAVF|MIL|NTL||0|0|TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR|0
adhel.fid--769d7d03_15f12ebc69c_2771|656|POINT (-64.41509 -33.937569999999994)|VMB|||AD|VICUÑA MACKENNA/BENEFICIOS S.R.L.|" 33°56'15""S  64°24'54""W"|241|M|2|SO|Vicuña Mackenna|PRIVADO|NOCONTROL|RANO|OK|SACF|AEROAPP|NTL||0|0|CÓRDOBA|0
adhel.fid--769d7d03_15f12ebc69c_2772|173|POINT (-69.31217000000001 -51.60880999999999)|GAL|SAWG|RGL|AD|RÍO GALLEGOS/PILOTO CIVIL NORBERTO FERNANDEZ|" 51°36'32""S  69°18'44""W"|19|M|4.5|OSO|Río Gallegos|PUBLICO|CONTROL|RASU|OK|SAVF||INTL|DNCTA|1|1|SANTA CRUZ|0
adhel.fid--769d7d03_15f12ebc69c_2773|390|POINT (-60.7783333333333 -37.5208333333333)|LPR|||AD|LAPRIDA|" 37°31'15""S  60°46'42""W"|210|M|2|NE|Laprida|PUBLICO|NOCONTROL|RACE|OK|SAEF|CIVIL|NTL||0|0|BUENOS AIRES|0
adhel.fid--769d7d03_15f12ebc69c_2774|32|POINT (-58.3436111111111 -37.9152777777778)|BAL|||AD|BALCARCE|" 37°54'55""S  58°20'37""W"|120|M|12|S|Balcarce|PUBLICO|NOCONTROL|RACE|OK|SAEF|CIVIL|NTL||0|0|BUENOS AIRES|0
adhel.fid--769d7d03_15f12ebc69c_2775|581|POINT (-65.2702777777778 -43.2105555555556)|TRE|SAVT|REL|AD|TRELEW/ALMIRANTE ZAR|" 43°12'38""S  65°16'13""W"|43|M|6.5|NNE|Trelew|PUBLICO|CONTROL|RASU|OK|SAVF||INTL|EANA|1|1|CHUBUT|0
