1|ASP|Asphalt
2|BIT|Bitumenous asphalt or tarmac
3|BRI|Bricks (no longer in use)
4|CLA|Clay
5|COM|Composite
6|CON|Concrete
7|COP|Composite
8|COR|Coral (fine crushed coral reef structures)
9|GRE|Graded or rolled earth
10|GRS|Grass or earth not graded or rolled
11|GVL|Gravel
12|ICE|Ice
13|LAT|Laterite
14|MAC|Macadam
15|PC|Partially concrete
16|PS|Permanent surface
17|PSP|Marston Matting (derived from pierced/perforated steel planking)
18|SAN|Sand
19|SMT|Sommerfeld Tracking
20|SNO|Snow
21|U|Unknown surface
